Account,Day,Campaign,Ad group,Ad group state,Clicks,Impressions,CTR,Avg. CPC,Cost
USA_HKD_006_P_A_SC_ENZ_SEA_000,2016-08-12,USA_EN_06_P_Apparel_LTG000_oo_oo_S_A#11,LONG35_4,enabled,3,102,2.94%,0.52,1.57
USA_HKD_006_P_A_SC_ENZ_SEA_000,2016-08-12,USA_EN_06_P_BusinessIndustrial_LTG000_oo_oo_S_A#1,LONG25_1,enabled,26,1145,2.27%,0.40,10.38
USA_HKD_006_P_A_SC_ENZ_SEA_000,2016-08-12,USA_EN_06_P_BusinessIndustrial_LTG000_oo_oo_S_A#1,LONG25_3,enabled,50,1801,2.78%,0.44,21.92
USA_HKD_006_P_A_SC_ENZ_SEA_000,2016-08-12,USA_EN_06_P_BusinessIndustrial_LTG000_oo_oo_S_A#1,LONG25_9,enabled,15,912,1.64%,0.42,6.26
USA_HKD_006_P_A_SC_ENZ_SEA_000,2016-08-12,USA_EN_06_P_BusinessIndustrial_LTG000_oo_oo_S_A#1,LONG35_2,enabled,121,2880,4.20%,0.43,52.30
USA_HKD_006_P_A_SC_ENZ_SEA_000,2016-08-12,USA_EN_06_P_ComputersConsumerElectronics_LTG000_oo_oo_S_A#11,LONG25_1,enabled,8,495,1.62%,0.22,1.75
USA_HKD_006_P_A_SC_ENZ_SEA_000,2016-08-12,USA_EN_06_P_ComputersConsumerElectronics_LTG000_oo_oo_S_A#11,LONG25_3,enabled,5,231,2.16%,0.25,1.26
USA_HKD_006_P_A_SC_ENZ_SEA_000,2016-08-12,USA_EN_06_P_ComputersConsumerElectronics_LTG000_oo_oo_S_A#11,LONG25_4,enabled,14,551,2.54%,0.31,4.29
USA_HKD_006_P_A_SC_ENZ_SEA_000,2016-08-12,USA_EN_06_P_ComputersConsumerElectronics_LTG000_oo_oo_S_A#11,LONG35_2,enabled,31,968,3.20%,0.46,14.15
USA_HKD_006_P_A_SC_ENZ_SEA_000,2016-08-12,USA_EN_06_P_DiningNightlife_LTG000_oo_oo_S_A#11,LONG35_1,enabled,251,3756,6.68%,0.34,86.18
